Country,Region,Happiness.Rank,Happiness.Score,Economy.GDP.per.Capita.,Family,Health.Life.Expectancy,Freedom,Generosity,Trust.Government.Corruption,Region,Surface area (km2),Population in thousands (2017),Population density (per km2 2017),Sex ratio (m per 100 f 2017),Population age distribution <14 (in %),Population age distribution >60 (in %),Population growth rate (average annual %),International migrant stock (% of total pop),GDP: Gross domestic product (million current US$),GDP growth rate (annual % const. 2005 prices),GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Fertility rate total (live births per woman),Life expectancy at birth - females,Life expectancy at birth - males,Infant mortality rate (per 1000 live births),Urban population (% of total population),Urban population growth rate (average annual %),Mobile-cellular subscriptions (per 100 inhabitants),Individuals using the Internet (per 100 inhabitants),Threatened species (number),CO2 emission estimates (tons per capita),Energy supply per capita (Gigajoules),Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Education Primary gross enrol ratio (females per 100 pop),Education Primary gross enrol ratio (males per 100 pop),Education Secondary gross enrol ratio (females per 100 pop),Education Secondary gross enrol ratio (males per 100 pop),Education Tertiary gross enrol ratio (females per 100 pop),Education Tertiary gross enrol ratio (males per 100 pop),Seats held by women in national parliaments,Forested area (% of land area),Refugees and others of concern to UNHCR (in thousands)
Czech Republic,Central and Eastern Europe,23,6.609000206,1.352682352,1.433885217,0.754444003,0.490946174,0.088106759,0.036872927,EasternEurope,78868,10618,137.5,96.7,15.4,25.6,0.1,3.8,185156,4.5,17561.7,2.5,37.8,59.7,161248,140316,20932,2.5,37,60.5,3.9,1.5,81.2,75.1,2.5,73,0.3,129.2,81.3,53,9.2,164,7.4,3.7,4.1,99.9,99.6,106.1,105.1,76.3,54.2,20,34.5,6
Denmark,Western Europe,2,7.521999836,1.482383013,1.551121593,0.792565525,0.626006722,0.355280489,0.400770068,NorthernEurope,42921,5734,135.1,99,16.5,25.3,0.5,10.1,301308,1.6,53149.3,1.2,22.9,75.8,94355,85133,9222,2.4,19.2,78.4,6,1.7,82.2,78.1,3.5,87.7,0.6,128.3,96.3,47,5.9,119,10.8,3.6,8.6,100.7,102.3,133.4,128.3,96.3,69.7,37.4,14.4,48.2
Dominican Republic,Latin America and Caribbean,86,5.230000019,1.079373837,1.402416706,0.574873745,0.552589834,0.18696785,0.113945253,Caribbean,48671,10767,222.8,99.2,29.3,10.2,1.2,3.9,67103,7,6373.6,6.6,28,65.4,3747,22725,-18978,13.1,16.9,70,14.4,2.5,76.4,70.2,25.1,79,2.6,82.6,51.9,184,2.1,28,4.4,1.5,-,98.7,108.1,81.7,74.1,65,35.4,26.8,40.4,1.3
Ecuador,Latin America and Caribbean,44,6.007999897,1.000820398,1.286168814,0.685636222,0.455198199,0.150112465,0.140134647,SouthAmerica,257217,16625,66.9,99.9,28.4,10.5,1.6,2.4,100177,0.2,6205.1,10.1,34.1,55.8,16798,16189,609,25.7,19.2,55.1,5.8,2.6,78.4,72.8,21.1,63.7,1.9,79.4,48.9,2358,2.8,42,9.2,1.7,5,107.9,107.4,109.2,105.3,45.3,34.6,41.6,50.8,133.1
Egypt,Middle East and Northern Africa,104,4.735000134,0.989701807,0.997471392,0.520187259,0.282110155,0.128631443,0.114381365,NorthernAfrica,1002000,97553,98,102.3,33.5,7.9,2.2,0.5,315917,4.2,3452.3,11.2,36.3,52.5,22507,58053,-35545,25.4,25.3,49.3,11.5,3.4,73,68.7,18.9,43.1,1.7,111,35.9,156,2.2,36,5.6,0.8,-,103.8,104.1,85.9,86.3,35.6,36.9,14.9,0.1,256.5
El Salvador,Latin America and Caribbean,45,6.002999783,0.909784496,1.182125092,0.596018553,0.43245253,0.078257985,0.08998096,CentralAmerica,21041,6378,307.8,88.5,27.4,11.6,0.5,0.7,25850,2.5,4219.4,10.8,25.8,63.3,5335,9855,-4519,18.6,20.2,61.2,6.4,2.2,77.1,67.9,17,66.7,1.4,145.3,26.9,86,1,28,6.8,-,3.5,106.8,111.4,79.7,79.2,30.5,27.7,32.1,13,4.7
Estonia,Central and Eastern Europe,66,5.611000061,1.32087934,1.4766711,0.695168316,0.47913143,0.098890811,0.183248922,NorthernEurope,45227,1310,30.9,88.2,16.4,25.9,-0.3,15.4,22460,1.4,17112,3.4,27.4,69.2,13952,15759,-1807,3.8,29,67.3,7.2,1.6,81.2,71.8,3.2,67.5,-0.4,148.7,88.4,23,14.8,193,6.4,3.3,5.5,98.5,98.3,114.7,115.6,84.8,55.4,26.7,52.7,84.2
Ethiopia,Sub-Saharan Africa,119,4.460000038,0.339233845,0.864669204,0.353409708,0.408842742,0.31265074,0.165455714,EasternAfrica,1104300,104957,105,99.7,40.6,5.3,2.6,1.1,59917,9.6,602.8,40.5,16,43.5,1724,19121,-17397,70.5,8.4,21.1,5.7,4.6,65.5,61.9,45.8,19.5,4.9,42.8,11.6,148,0.1,15,4.9,-,4.5,97.2,106.9,34.4,35.9,5.3,10.9,38.8,12.5,745.7
Finland,Western Europe,5,7.468999863,1.443571925,1.540246725,0.80915767,0.617950857,0.245482773,0.382611543,NorthernEurope,338440,5523,18.2,97.2,16.4,27.8,0.4,5.7,231960,0.2,42148.1,2.5,26.8,70.6,57326,60502,-3176,4.2,22,73.8,8.9,1.8,83.7,77.7,2.3,84.2,0.5,135.5,92.7,36,8.6,257,9.7,3,7.2,101.4,101.7,156.3,142.8,95.6,79.3,42,73.1,32.6
France,Western Europe,31,6.441999912,1.430923462,1.387776852,0.844465852,0.470222116,0.129762307,0.172502428,WesternEurope,551500,64980,118.7,96.7,18.1,25.7,0.4,12.1,2418946,1.3,36304.2,1.7,19.5,78.8,488885,560555,-71670,2.7,20.5,76.8,9.8,2,85,78.8,3.4,79.5,0.8,102.6,84.7,278,4.7,158,11.5,3.2,5.5,105,105.7,111.2,110.1,71,57.9,25.8,30.8,356.2
Gabon,Sub-Saharan Africa,118,4.465000153,1.198210239,1.155620217,0.356578588,0.312328577,0.043785378,0.076046787,MiddleAfrica,267668,2025,7.9,105.6,35.9,6.4,3.3,15.6,13735,3.9,7960.7,3.8,54.5,41.7,2851,2930,-79,16.2,19.1,64.8,18.1,4,65.8,63.1,40.8,87.2,2.7,168.9,23.5,270,3.1,64,3.4,-,2.7,139.9,144,-,-,-,-,17.1,88.5,2.9
